code,year,name,pop,sex,age
KR,2021,"Korea, South",309990,Female,33
KR,2021,"Korea, South",308911,Female,34
KR,2021,"Korea, South",317930,Female,35
KR,2021,"Korea, South",317909,Female,36
KR,2021,"Korea, South",343787,Female,37
KR,2021,"Korea, South",375209,Female,38
KR,2021,"Korea, South",403262,Female,39
KR,2021,"Korea, South",419327,Female,40
KR,2021,"Korea, South",406344,Female,41
KR,2021,"Korea, South",385451,Female,42
KR,2021,"Korea, South",352781,Female,43
KR,2021,"Korea, South",357288,Female,44
KR,2021,"Korea, South",356797,Female,45
KR,2021,"Korea, South",384550,Female,46
KR,2021,"Korea, South",414312,Female,47
KR,2021,"Korea, South",430381,Female,48
KR,2021,"Korea, South",436972,Female,49
KR,2021,"Korea, South",440150,Female,50
KR,2021,"Korea, South",432431,Female,51
KR,2021,"Korea, South",430593,Female,52
KR,2021,"Korea, South",414017,Female,53
KR,2021,"Korea, South",396705,Female,54
KR,2021,"Korea, South",399138,Female,55
KR,2021,"Korea, South",409581,Female,56
KR,2021,"Korea, South",410727,Female,57
KR,2021,"Korea, South",439250,Female,58
KR,2021,"Korea, South",432549,Female,59
KR,2021,"Korea, South",442867,Female,60
KR,2021,"Korea, South",428081,Female,61
KR,2021,"Korea, South",425157,Female,62
KR,2021,"Korea, South",392634,Female,63
KR,2021,"Korea, South",362338,Female,64
KR,2021,"Korea, South",344969,Female,65
KR,2021,"Korea, South",356886,Female,66
KR,2021,"Korea, South",293457,Female,67
KR,2021,"Korea, South",252419,Female,68
KR,2021,"Korea, South",277994,Female,69
KR,2021,"Korea, South",219547,Female,70
KR,2021,"Korea, South",217762,Female,71
KR,2021,"Korea, South",222226,Female,72
KR,2021,"Korea, South",218820,Female,73
KR,2021,"Korea, South",215078,Female,74
KR,2021,"Korea, South",187866,Female,75
KR,2021,"Korea, South",164642,Female,76
KR,2021,"Korea, South",165127,Female,77
KR,2021,"Korea, South",167215,Female,78
KR,2021,"Korea, South",181902,Female,79
KR,2021,"Korea, South",168533,Female,80
KR,2021,"Korea, South",145737,Female,81
KR,2021,"Korea, South",146743,Female,82
KR,2021,"Korea, South",130676,Female,83
KR,2021,"Korea, South",121625,Female,84
KR,2021,"Korea, South",108023,Female,85
KR,2021,"Korea, South",100739,Female,86
KR,2021,"Korea, South",86564,Female,87
KR,2021,"Korea, South",71006,Female,88
KR,2021,"Korea, South",66584,Female,89
KR,2021,"Korea, South",52779,Female,90
KR,2021,"Korea, South",43175,Female,91
KR,2021,"Korea, South",37513,Female,92
KR,2021,"Korea, South",29544,Female,93
KR,2021,"Korea, South",23663,Female,94
KR,2021,"Korea, South",19048,Female,95
KR,2021,"Korea, South",13846,Female,96
KR,2021,"Korea, South",10973,Female,97
KR,2021,"Korea, South",8489,Female,98
KR,2021,"Korea, South",5981,Female,99
KR,2021,"Korea, South",11648,Female,100
